id	youtubeId	city	country	hour	minute	director	directorUrl	walker	walkerUrl
56	zlBptrpFN3E	Hiroo,Tokyo	Japan	10	35	WalkingJunkey	*	YUKAKO	*
57	afAwh7-kcNY	Yanaka,Tokyo	Japan	10	40	WalkingJunkey	*	YOSHITAKA	*
58			Japan	10	45	WalkingJunkey	*	YOSHITAKA	*
59			Japan	10	50	WalkingJunkey	*	YOSHITAKA	*
60			Japan	10	55	WalkingJunkey	*	YOSHITAKA	*
61	lubg1aqOPaY	Yanaka,Tokyo	Japan	11	0	WalkingJunkey	*	YOSHITAKA	*
62	hZ9-NzD1wiQ	Hiroo,Tokyo	Japan	11	5	WalkingJunkey	*	YUKAKO	*
63			Japan	11	10	WalkingJunkey	*	YOSHITAKA	*
64	zCp5EbXFuIY	Hiroo,Yukako	Japan	11	15	WalkingJunkey	*	YUKAKO	*
65			Japan	11	20	WalkingJunkey	*	YOSHITAKA	*
66			Japan	11	25	WalkingJunkey	*	YOSHITAKA	*
67			Japan	11	30	WalkingJunkey	*	YOSHITAKA	*
68			Japan	11	35	WalkingJunkey	*	YOSHITAKA	*
69	-ruY0PaJ5iw	Akiahabara,Tokyo	Japan	11	40	WalkingJunkey	*	YOSHITAKA	*
70			Japan	11	45	WalkingJunkey	*	YOSHITAKA	*
71	WT9J0xPjoB4	Akihabara,Tokyo	Japan	11	50	WalkingJunkey	*	SHOTA	*
72			Japan	11	55	WalkingJunkey	*	YOSHITAKA	*
73	VsNbDHRzszg	Irabu,Okinawa	Japan	12	0	WalkingJunkey	*	CHIAKI	*
74			Japan	12	5	WalkingJunkey	*	YOSHITAKA	*
75	mqCAy0UFiXA	Takadanobaba,Tokyo	Japan	12	10	WalkingJunkey	*	YUKAKO	*
76	Fst4qrjODYs	Irabu,Okinawa	Japan	12	15	WalkingJunkey	*	CHIAKI	*
77	iWNwtToVQMU	Akihabara,Tokyo	Japan	12	20	WalkingJunkey	*	YOSHITAKA	*
78			Japan	12	25	WalkingJunkey	*	YOSHITAKA	*
79			Japan	12	30	WalkingJunkey	*	YOSHITAKA	*
80			Japan	12	35	WalkingJunkey	*	YOSHITAKA	*
81	xdIY7OWYxeo	Akihabara,Tokyo	Japan	12	40	WalkingJunkey	*	SHOTA	*
82			Japan	12	45	WalkingJunkey	*	YOSHITAKA	*
83	17OTgYHdW4w	Akihabara,Tokyo	Japan	12	50	WalkingJunkey	*	YOSHITAKA	*
84	bCTtQE3mLFw	Hodogaya,Kanagawa	Japan	12	55	WalkingJunkey	*	MASAKI	*
85			Japan	13	0	WalkingJunkey	*	SHOTA	*
86	QcPn_tRbROM	Akihabara,Tokyo	Japan	13	5	WalkingJunkey	*	YOSHITAKA	*
87			Japan	13	10	WalkingJunkey	*	YOSHITAKA	*
88			Japan	13	15	WalkingJunkey	*	YOSHITAKA	*
89			Japan	13	20	WalkingJunkey	*	YOSHITAKA	*
90	P35Ce8H1Tn8	Marunouchi,Tokyo	Japan	13	25	WalkingJunkey	*	YOSHITAKA	*
91	t6ErnqQh-h0	Kamakura,Kanagawa	Japan	13	30	WalkingJunkey	*	TSUCHIYA	*
92			Japan	13	35	WalkingJunkey	*	YOSHITAKA	*
93	KRCvf0oeHzo	Kamakura,Kanagawa	Japan	13	40	WalkingJunkey	*	TSUCHIYA	*
94			Japan	13	45	WalkingJunkey	*	YOSHITAKA	*
95			Japan	13	50	WalkingJunkey	*	YOSHITAKA	*
96			Japan	13	55	WalkingJunkey	*	YOSHITAKA	*
97	scH56TSzd1c	Kamakura,Kanagawa	Japan	14	0	WalkingJunkey	*	TSUCHIYA	*
98			Japan	14	5	WalkingJunkey	*	YOSHITAKA	*
99			Japan	14	10	WalkingJunkey	*	YOSHITAKA	*
100			Japan	14	15	WalkingJunkey	*	YOSHITAKA	*
101	vuvh5zbbkM4	Kamakura,Kanagawa	Japan	14	20	WalkingJunkey	*	YOSHITAKA	*
102			Japan	14	25	WalkingJunkey	*	YOSHITAKA	*
103			Japan	14	30	WalkingJunkey	*	YOSHITAKA	*
104			Japan	14	35	WalkingJunkey	*	YOSHITAKA	*
105	ETEH9IQ4w78	Monzen-nakacho,Tokyo	Japan	14	40	WalkingJunkey	*	YUKINO	*
106			Japan	14	45	WalkingJunkey	*	YOSHITAKA	*
107	-6FDUu8CN_c	Monzen-nakacho	Japan	14	50	WalkingJunkey	*	YUKINO	*
108			Japan	14	55	WalkingJunkey	*	YOSHITAKA	*
109			Japan	15	0	WalkingJunkey	*	YOSHITAKA	*
110			Japan	15	5	WalkingJunkey	*	YOSHITAKA	*
111	1Ejwi6cikZQ	Shonandai,Kanagawa	Japan	15	10	WalkingJunkey	*	SHOTA	*
112			Japan	15	15	WalkingJunkey	*	YOSHITAKA	*
113			Japan	15	20	WalkingJunkey	*	YOSHITAKA	*
114			Japan	15	25	WalkingJunkey	*	YOSHITAKA	*
115	iB5NCbTw8aE	Kamakura,Kanagawa	Japan	15	30	WalkingJunkey	*	YOSHITAKA	*
116			Japan	15	35	WalkingJunkey	*	YOSHITAKA	*
117	YSBBytfxphY	Kamui-misaki,Hokkaido	Japan	15	40	WalkingJunkey	*	YOSHITAKA	*
118	r2x4-VSCIp4	Shonandai,Kanagawa	Japan	15	45	WalkingJunkey	*	YOSHITAKA	*
119	HY8fAvlveDA	Mita,Tokyo	Japan	15	50	WalkingJunkey	*	YOSHITAKA	*
120	A7wiuW7ow1s	Kamakura,Kanagawa	Japan	15	55	WalkingJunkey	*	YOSHITAKA	*
121	IU32d1odWZg	Shitiriga-hama,Kanagawa	Japan	16	0	WalkingJunkey	*	TSUCHIYA	*
122	H2RxcYYVCrc	Akihabara,Kanagawa	Japan	16	5	WalkingJunkey	*	YOSHITAKA	*
123	TsoUK_HSxb4	Kanda,Tokyo	Japan	16	10	WalkingJunkey	*	YOSHITAKA	*
124			Japan	16	15	WalkingJunkey	*	YOSHITAKA	*
125	rF1-jGhqrwc	Kanda,Tokyo	Japan	16	20	WalkingJunkey	*	YOSHITAKA	*
126	4GGP2-uAzjY	Tokyo-tower,Tokyo	Japan	16	25	WalkingJunkey	*	YOSHITAKA	*
127	PYgNXK8EX-w	Kamakura,Yoshitaka	Japan	16	30	WalkingJunkey	*	YOSHITAKA	*
128	IXhx2ROwSE8	Kanda,Tokyo	Japan	16	35	WalkingJunkey	*	SHOTA	*
129			Japan	16	40	WalkingJunkey	*	YOSHITAKA	*
130	iDTrrjqJnjw	Ginza,Tokyo	Japan	16	45	WalkingJunkey	*	YUKINO	*
131	gVWdHzGFOhI	Kamakura,Kanagawa	Japan	16	50	WalkingJunkey	*	SHOTA	*
132			Japan	16	55	WalkingJunkey	*	YOSHITAKA	*
133	Ln9yk5ywN8I	Shonandai,Kanagawa	Japan	17	0	WalkingJunkey	*	YOSHITAKA	*
134	dqVNH4HmBQU	Kanda,Tokyo	Japan	17	5	WalkingJunkey	*	YOSHITAKA	*
135	dADwTXhZfJM	Kokyo-mae,Tokyo	Japan	17	10	WalkingJunkey	*	YUKINO	*
136	cG24KUEz484	America-yokocho,Tokyo	Japan	17	15	WalkingJunkey	*	AKANE	*
137	Alc5bzQR9nY	Shonandai,Kanagawa	Japan	17	20	WalkingJunkey	*	SHOTA	*
138	NXIkK53To7A	Kanda,Tokyo	Japan	17	25	WalkingJunkey	*	YOSHITAKA	*
139			Japan	17	30	WalkingJunkey	*	YOSHITAKA	*
140	y6ZS2rGZvuo	Shibashi,Tokyo	Japan	17	35	WalkingJunkey	*	YOSHITAKA	*
141	XzCinMbyArY	Kamakura,Kanagawa	Japan	17	40	WalkingJunkey	*	SHOTA	*
142	WyhG-Zqn20o	Kanda,Tokyo	Japan	17	45	WalkingJunkey	*	YOSHITAKA	*
143			Japan	17	50	WalkingJunkey	*	YOSHITAKA	*
144	UGKYkmubV1I	Shinbashi,Tokyo	Japan	17	55	WalkingJunkey	*	YOSHITAKA	*
145	-EQso4bmZ0Y	Ueno-koen,Tokyo	Japan	18	0	WalkingJunkey	*	KURUMI	*
